"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"194095630720294";"seed";"";"None";"None";"";""
"1";"2";"1";"194095630720294_1914394218690418";"data";"fetched (200)";"2019-02-16 14:17:48.250123";"Facebook:<page>/feed";"";"每一個生命都是可歌的，都應該擁有一首屬於自己的歌。因為這信念，#人文及創作系 副教授暨填詞人 #周耀輝 與音樂人 #馮穎琪 策劃的社企「#一個人一首歌」， 在2019年推出新項目「一手歌：#聽城內的那雙手」，早前已招募三十名大專生，為十名 #手工藝人 包括木匠、紋身師、結他維修師等寫歌。十組學員將會在大專巡迴預演中與觀眾一起回顧手工藝人的故事。  Every person deserves their own song. With this belief, lyricist Chow Yiu-fai, an Associate Professor from the Department of Humanities and Creative Writing, has joined hands with singer-songwriter Vicky Fung to launch a social enterprise called “Every Life Is A Song” (ELIAS).    In 2019, #ELIAS launched a new project called “HandiSongs: Tertiary Students’ Musical Tribute to Our City’s Craftspersons”.  As part of the project, 30 tertiary students were recruited to write songs for 10 #craftspersons, with specialties ranging from woodworking and blacksmithing to farming and needlework. The students, who were divided into 10 groups, will present their musical pieces at a number of higher education institutions soon.    Every Life Is A Song 一個人一首歌 Yiu Fai Chow Vicky Fung 馮穎琪 紅日‧黑夜－周耀輝歌詞創作班2018-2019畢業作品演唱會 Department of Humanities and Creative Writing 人文及創作系  ========================= 【#香港浸會大學】Hong Kong Baptist University https://hkbu.edu.hk Instagram/twitter ＠hkbaptistu #Talent100 https://talent100.hkbu.edu.hk/"
"1";"3";"1";"194095630720294_1912853722177801";"data";"fetched (200)";"2019-02-16 14:17:48.250123";"Facebook:<page>/feed";"";"無論有無出POOL，有無邱比特，你都可以過一個大愛情人節！大學會堂 x 拉闊文化今日晌校園舉行【#藉著午餐說愛你】藝術嘉年華，不論有無情人，老師同學一樣盡興！  Happy #Valentine’s Day! An annual arts fair “Lunchtime I'm In Love” was held on campus today. Teaching staff and students, with or without lovers, had a great time there!  Cultural Literacy Programme 拉闊文化"
"1";"4";"1";"194095630720294_1912498025546704";"data";"fetched (200)";"2019-02-16 14:17:48.250123";"Facebook:<page>/feed";"";"情人節快樂！ Happy Valentine's Day!"
"1";"5";"1";"194095630720294_1911483322314841";"data";"fetched (200)";"2019-02-16 14:17:48.250123";"Facebook:<page>/feed";"";"除了昨天分享過校友陳小娟及其團隊憑作品《淪落人》獲得香港電影金像獎8項提名的消息。另外，校友莊文強先生（傳理學─電影電視）及他的團隊亦就作品《無雙》獲得17項的香港電影金像獎提名；  而高級文憑課程講師廖啟智先生亦憑《無雙》獲得最佳男配角的提名、MFA 課程兼職講師應亮先生和他的合作伙伴以作品《自由行》獲得最佳編劇的提名，及多個各方友好均在金像獎中取得不同提名，恭喜各位！  Apart from the news we shared yesterday for the updates of Alumnus Chan Siu Kuen with her team having 8 nominations for “Still Human” in Hong Kong Film Awards;  Mr Felix Chong (Communication – Film/Video), one of our alumni and his teammates are also having 17 nominations in Hong Kong Film Awards for the film “Project Gutenberg”.  The lecturer in HD Programme, Mr KC Liu is nominated for ""Best Supporting Actor"" with the film ""Project Gutenberg"" as well,  the part-time lecturer in MFA Programme, Mr. Ying Liang and his team are also nominated for “Best Screenplay” with the film “A Family Tour” .  Last but not least, many friends of the Academy of Film / School of Communication are nominated for different categories.  Congratulations!  自由行 A Family Tour 無雙 Project Gutenberg Liang Ying 陳小娟 Chan Siu Kuen 淪落人 Still Human 香港電影金像獎 Hong Kong Film Awards"
"1";"6";"1";"194095630720294_1911107439019096";"data";"fetched (200)";"2019-02-16 14:17:48.250123";"Facebook:<page>/feed";"";"在網絡上爆紅的兩位視覺藝術院校友 ─ 插畫師 #謝曬皮 和Plastic Thing，作品風格非常另類。他們對自己的創作事業又有何看法呢？  Local illustrators, as well as Academy of Visual Arts alumni Tse Sai Pei and Plastic Thing, continue to wow online fans with their alternative artistic styles. Watch the video to find out more about their motivations, work, and how they got to where they are now.  Academy of Visual Arts, HKBU 視覺藝術院 謝曬皮 TSE SAI PEI the incapable Plastic Thing #plasticthing #插畫師 #visualarts #illustration  ========================= 【#香港浸會大學】Hong Kong Baptist University https://hkbu.edu.hk Instagram/twitter ＠hkbaptistu #Talent100 https://talent100.hkbu.edu.hk/"
"1";"7";"1";"194095630720294_1909720442491129";"data";"fetched (200)";"2019-02-16 14:17:48.250123";"Facebook:<page>/feed";"";"#電影學院 校友 #陳小娟 首部執導劇情片《 #淪落人 》榮獲第38屆 #香港電影金像獎 8項提名，包括最佳電影、最佳導演、最佳編劇、最佳男主角、最佳女主角、最佳男配角、最佳新演員及最佳新晉導演。恭喜！  “Still Human”, the debut film from director Oliver Chan Siu-kuen – an alumna from the Academy of Film – has been nominated in eight award categories at the 38th Hong Kong Film Awards, including Best Film, Best Director, Best Screenplay, Best Actor, Best Actress, Best Supporting Actor, Best New Performer and Best New Director. Congratulations!  香港浸會大學傳理學院 HKBU School of Communication AF Hkbu Higher Diploma AF 香港電影金像獎 Hong Kong Film Awards 陳小娟 Chan Siu Kuen FFFI 首部劇情電影計劃 Crisel Consunji - Artist / Educator 黃秋生Anthony Perry  ========================= 【#香港浸會大學】Hong Kong Baptist University https://hkbu.edu.hk Instagram/twitter ＠hkbaptistu #Talent100 https://talent100.hkbu.edu.hk/"
"1";"8";"1";"194095630720294_1909387595857747";"data";"fetched (200)";"2019-02-16 14:17:48.250123";"Facebook:<page>/feed";"";"#浸大 公布第六屆「#傑出校友獎」得獎名單，得獎人為 #張小嫻 女士（傳理學）、#莊文強 先生（傳理學─電影電視）、#姚偉彬 教授（土木工程學）及 #林志民 博士（地理學）。「傑出校友獎」旨在表揚優秀校友的卓越商業、專業或學術成就，以及他們對浸大和社會的服務和貢獻。http://bit.ly/2WRnYQN  #HKBU will present its sixth annual Distinguished Alumni Award to four outstanding #alumni ─ Ms Amy Cheung (Communication), Mr Felix Chong (Communication – Film/Video), Professor Iu Vai-pan (Civil Engineering) and Dr Cartier Lam (Geography).  The award was established to recognise the outstanding business, professional or scholarly achievements of the recipients, and their service and contributions to the University and society. http://bit.ly/2SOPiQA  #DAA #distinguishedalumni 張小嫻   ========================= 【#香港浸會大學】Hong Kong Baptist University https://hkbu.edu.hk Instagram/twitter ＠hkbaptistu #Talent100 https://talent100.hkbu.edu.hk/"
"1";"9";"1";"194095630720294_1909374592525714";"data";"fetched (200)";"2019-02-16 14:17:48.250123";"Facebook:<page>/feed";"";""
"1";"10";"1";"194095630720294_1908073545989152";"data";"fetched (200)";"2019-02-16 14:17:48.250123";"Facebook:<page>/feed";"";"#浸大 神科教 #填詞？ #人文及創作系 副教授 #周耀輝 博士是著名填詞人，他主理的 #歌詞班 深受同學歡迎，至今已舉辦第七個年頭。他教授填詞不是要發掘新秀，而是要同學「將敏銳變成創作，即使後來不再寫詞，他們繼續做人還是需要這種敏銳。」  Dr Chow Yiu-fai, an Associate Professor from the Department of Humanities and Creative Writing, is also a famous #lyricist. The #Lyrics Creative Workshop organised by Dr Chow has been held for the past seven years and is very popular at the University. As part of the workshop, Dr Chow hopes his students will turn their sensitivity into creativity, keeping this attitude even if they don’t write lyrics after the workshop.  Yiu Fai Chow Department of Humanities and Creative Writing 人文及創作系 三十小樣－周耀輝歌詞創作班2017-2018畢業作品集 #流行曲 #廣東歌 #HKBU 紅日‧黑夜－周耀輝歌詞創作班2018-2019畢業作品演唱會  ===================================== 【#香港浸會大學】Hong Kong Baptist University https://hkbu.edu.hk Instagram/twitter ＠hkbaptistu #Talent100 https://talent100.hkbu.edu.hk/"
